filename,Total xsec (pb),Total MC Events,Coupling,Mode,$m_{med}$,$m_{DM}$,$g_{DM}$,$g_{q}$,analysis name,signal region,sig95(exp),sig95(obs),efficiency,stat
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_01/events_PYTHIA8_0.hepmc.gz,8.191,20000,Axial,DM+QCDjets,20.0,100.0,1.0,0.25,atlas_exot_2018_06,EM10,0.634609,1.3582373,0.000492,0.0006337
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_02/events_PYTHIA8_0.hepmc.gz,0.7895,20000,Axial,DM+QCDjets,20.0,200.0,1.0,0.25,atlas_exot_2018_06,EM10,-1.0,-1.0,0.0,0.0
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_03/events_PYTHIA8_0.hepmc.gz,0.1747,20000,Axial,DM+QCDjets,20.0,300.0,1.0,0.25,atlas_exot_2018_06,EM10,0.594736,1.2652005,0.0005277,0.0046172
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_04/events_PYTHIA8_0.hepmc.gz,0.01977,20000,Axial,DM+QCDjets,20.0,500.0,1.0,0.25,atlas_exot_2018_06,EM10,-1.0,-1.0,0.0,0.0
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_05/events_PYTHIA8_0.hepmc.gz,90070.0,20000,Axial,DM+QCDjets,55.0,0.0,1.0,0.25,atlas_exot_2018_06,EM10,-1.0,-1.0,0.0,0.0
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_06/events_PYTHIA8_0.hepmc.gz,44920.0,20000,Axial,DM+QCDjets,55.0,20.0,1.0,0.25,atlas_exot_2018_06,EM10,-1.0,-1.0,0.0,0.0
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_07/events_PYTHIA8_0.hepmc.gz,8.615,20000,Axial,DM+QCDjets,55.0,100.0,1.0,0.25,atlas_exot_2018_06,EM10,-1.0,-1.0,0.0,0.0
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_08/events_PYTHIA8_0.hepmc.gz,0.173,20000,Axial,DM+QCDjets,55.0,300.0,1.0,0.25,atlas_exot_2018_06,EM10,0.605162,1.2977555,0.0005142,0.004544
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_09/events_PYTHIA8_0.hepmc.gz,0.01971,20000,Axial,DM+QCDjets,55.0,500.0,1.0,0.25,atlas_exot_2018_06,EM10,-1.0,-1.0,0.0,0.0
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_10/events_PYTHIA8_0.hepmc.gz,2703.0,20000,Axial,DM+QCDjets,200.0,0.0,1.0,0.25,atlas_exot_2018_06,EM10,-1.0,-1.0,0.0,0.0
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_11/events_PYTHIA8_0.hepmc.gz,2126.0,20000,Axial,DM+QCDjets,200.0,50.0,1.0,0.25,atlas_exot_2018_06,EM10,-1.0,-1.0,0.0,0.0
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_12/events_PYTHIA8_0.hepmc.gz,54.74,20000,Axial,DM+QCDjets,200.0,100.0,1.0,0.25,atlas_exot_2018_06,EM10,-1.0,-1.0,0.0,0.0
/home/yoxara/Insync/DMSimp_vector_axial_pp_xxj_NLO_eff/Events/run_13/events_PYTHIA8_0.hepmc.gz,17.87,20000,Axial,DM+QCDjets,200.0,110.0,1.0,0.25,atlas_exot_2018_06,EM10,2.1157231,4.4895114,0.0001487,0.0002437
